ID,ACCESSION,NAME,TAXONOMY,ORIGIN,AMYLOSE,KERNEL LENGTH/WIDTH RATIO,LENGTH OF KERNEL,SALT TOLERANCE,WIDTH OF KERNEL,LEAF BLADE COLOR,PLANT HEIGHT 1
1037137,CIor 6606,Guneki,Oryza sativa L.,"Toyama, Japan",28,2.4,6,0.56,2.5,0,0
1037546,CIor 6742,Tosa Bozu,Oryza sativa L.,"Kyôto, Japan",28,2.8,5.9,0,2.1,0,0
1037674,CIor 6782,Iyo Benkei No. 2,Oryza sativa L.,"Aiti, Japan",19,1.8,5.5,0,3,0,0
1037741,CIor 6807,Komyo Nishiki No. 1,Oryza sativa L.,"Okayama, Japan",21,1.8,5.5,0,3,0,0
1037742,CIor 6808,Kokuryo Miyako No. 1,Oryza sativa L.,"Okayama, Japan",16,1.8,5.5,0,3,0,0
1037917,CIor 6856,Haya Shinriki,Oryza sativa L.,"Tottori, Japan",17,1.8,5.5,0,3,0,0
1037964,CIor 6871,Benkei No. 1,Oryza sativa L.,"Tottori, Japan",29,2.4,6,0,2.5,0,0
1037971,CIor 6873,Gimbozu,Oryza sativa L.,"Tottori, Japan",13,1.9,5.2,0,2.7,0,0
1038003,CIor 6880,Takenari No. 17,Oryza sativa L.,"Sizuoka, Japan",20,3,7.2,0,2.4,0,0
1038103,CIor 6914,WC 1231,Oryza sativa L.,"Hawaii, United States",22,2.5,7.5,0,3,0,0
1038207,CIor 6949,Bimake Mochi,Oryza sativa L.,"Hukuoka, Japan",12,1.8,5.2,0.19,2.8,0,0
1038404,CIor 7020,WC 4860,Oryza sativa L.,"Jiangsu Sheng, China",26,2.4,6,1.99,2.5,0,0
1038408,CIor 7021,WC 26,Oryza sativa L.,"Jiangsu Sheng, China",24,2.4,6,0,2.5,0,0
1038416,CIor 7024,WC 27,Oryza sativa L.,"Jiangsu Sheng, China",22,2.2,5.5,0.28,2.5,0,0
1038482,CIor 7042,WC 3901,Oryza sativa L.,"Jiangsu Sheng, China",26,2,6,0,3,0,0
1038511,CIor 7051,WC 28,Oryza sativa L.,"Jiangsu Sheng, China",24,2.3,6.1,1.48,2.7,0,0
1038539,CIor 7061,WC 29,Oryza sativa L.,"Jiangsu Sheng, China",25,1.8,5.5,0.36,3,0,0
1038563,CIor 7068,Chang Chow,Oryza sativa L.,"Jiangsu Sheng, China",25,2,5,0,2.5,0,0
1038564,CIor 7069,Hupeh,Oryza sativa L.,"Jiangsu Sheng, China",24,2.6,6.5,0.68,2.5,0,0
1038573,CIor 7071,WC 32,Oryza sativa L.,"Jiangsu Sheng, China",28,2.2,6.5,0.83,3,0,0
1038582,CIor 7073,Ting Chang,Oryza sativa L.,"Jiangsu Sheng, China",25,2.3,5.8,0,2.6,0,0
1038588,CIor 7074,WC 35,Oryza sativa L.,"Jiangsu Sheng, China",26,2.4,6,0,2.5,0,0
1038621,CIor 7082,Chu Chow,Oryza sativa L.,"Jiangsu Sheng, China",26,2.8,6.3,0,2.2,0,0
